NETWORK ID     NAME                                               DRIVER    SCOPE
865b20b023c6   ai-net                                             bridge    local
9076f995ad39   anythingllm_anything-llm                           bridge    local
fab9815fcaae   bridge                                             bridge    local
4a7fdb3af5da   continnum_db_default                               bridge    local
887dd661dac2   ddbb_tests_default                                 bridge    local
631bdf8a5e64   healthcademia-main_default                         bridge    local
91677e7b9cc9   homepage_default                                   bridge    local
33aec87688e2   host                                               host      local
4b89a2ed8d93   kali_pentest-net                                   bridge    local
6072309a16ff   n8n_default                                        bridge    local
84255641b4b0   none                                               null      local
76f4b7c41be2   odoo-net                                           bridge    local
b37f18855b04   odoo_default                                       bridge    local
2b9a089f47e7   shared-net                                         bridge    local
facc8253b2f7   structured_ddbb_default                            bridge    local
9c7c26380fd1   telkombe_remote-docker-desktop-extension_default   bridge    local
4f58d74d7bfb   wordpress_default                                  bridge    local
